"Company","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","Country_id"
"RVSN USSR","1962-10-25","2022-08-15 07:00:00","Cosmos-2I (63S1)","1MS #2","1","0","4","14"
"US Air Force","1962-10-26","2022-08-15 16:14:00","Thor DM-21 Agena-D","STARAD","1","0","2","3"
"US Air Force","1962-10-27","2022-08-15 23:15:00","Delta A","Explorer 15","1","0","2","3"
"US Air Force","1962-10-31","2022-08-15 08:08:00","Thor-DM21 Ablestar","ANNA 1B","1","0","2","3"
"RVSN USSR","1962-11-01","2022-08-15 16:14:00","Molniya","Mars 1","1","0","2","21"
"RVSN USSR","1962-11-04","2022-08-15 15:35:00","Molniya","2MV-3 n†­1 (Mars 2)","1","0","4","21"
"US Air Force","1962-11-05","2022-08-15 22:04:00","Thor DM-21 Agena-B","FTV 1136","1","0","2","3"
"General Dynamics","1962-11-11","2022-08-15 20:17:00","Atlas-LV3 Agena-B","Samos 11","1","0","2","3"
"US Air Force","1962-11-24","2022-08-15 22:01:00","Thor DM-21 Agena-B","FTV 1135","1","0","2","3"
"US Air Force","1962-12-04","2022-08-15 21:30:00","Thor DM-21 Agena-D","FTV 1155","1","0","2","3"
"US Air Force","1962-12-13","2022-08-15 04:07:00","Thor DM-21 Agena-D","Injun 3 & Others","1","0","2","3"
"US Air Force","1962-12-13","2022-08-15 23:30:00","Delta B","Relay 1","1","0","2","3"
"US Air Force","1962-12-14","2022-08-15 21:26:00","Thor DM-21 Agena-D","FTV 1156","1","0","2","3"
"NASA","1962-12-16","2022-08-15 14:33:00","Scout X-3","Explorer 16 (S-55B)","1","0","2","3"
"General Dynamics","1962-12-17","2022-08-15 20:36:00","Atlas-LV3 Agena-B","Midas 6","1","0","4","3"
"US Air Force","1962-12-19","2022-08-15 01:25:00","Scout X-3","Transit-5A 1","1","0","2","3"
"RVSN USSR","1962-12-22","2022-08-15 09:24:00","Vostok-2","Cosmos 12","1","0","2","21"
"RVSN USSR","1963-01-04","2022-08-15 08:49:00","Molniya","E-6 n†­1 (Luna 4)","1","0","4","21"
"RVSN USSR","1963-02-03","2022-08-15 09:29:00","Molniya","E-6 n†­2 (Luna 4)","1","0","4","21"
"US Air Force","1963-02-19","2022-08-15 16:33:00","Scout X-3M","DSAP-1 F3 (Program 35)","1","0","2","3"
"RVSN USSR","1963-03-21","2022-08-15 08:30:00","Vostok-2","Cosmos 13","1","0","2","21"
"RVSN USSR","1963-04-02","2022-08-15 08:04:00","Molniya","Luna 4","1","0","2","21"
"US Air Force","1963-04-05","2022-08-15 03:01:00","Scout X-3","Transit-5A 2","1","0","4","3"
"RVSN USSR","1963-04-06","2022-08-15 03:01:00","Cosmos-2I (63S1)","DS-P1 #2","1","0","4","14"
"RVSN USSR","1963-04-13","2022-08-15 11:00:00","Cosmos-2I (63S1)","Cosmos 14","1","0","2","14"
"RVSN USSR","1963-04-22","2022-08-15 08:30:00","Vostok-2","Cosmos 15","1","0","2","21"
"US Air Force","1963-04-26","2022-08-15 00:00:00","Scout X-2M","DSAP-1 F4 (Program 35)","1","0","4","3"
"RVSN USSR","1963-04-28","2022-08-15 08:49:00","Vostok-2","Cosmos 16","1","0","2","21"
"General Dynamics","1963-05-09","2022-08-15 20:06:00","Atlas-LV3 Agena-B","Midas 7","1","0","2","3"
"NASA","1963-05-15","2022-08-15 13:04:00","Atlas-D Mercury","Faith 7 (MA-9)","1","0","2","3"
"RVSN USSR","1963-05-22","2022-08-15 03:00:00","Cosmos-2I (63S1)","Cosmos 17","1","0","2","14"
"RVSN USSR","1963-05-24","2022-08-15 10:34:00","Vostok-2","Cosmos 18","1","0","2","21"
